Track Name,Popularity,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,intensity
Greatest Hits Megamix - Jewels & Stone Remix,42,0.497,0.0689,0.0365,0.0,0.927,0.61,101.994,-5.138177
This Is How We Do It,68,0.791,0.0623,0.0174,0.0,0.423,0.789,103.646,-5.147766
Mr. Bojangles - Remastered 2001,57,0.444,0.0541,0.699,0.0,0.329,0.554,154.26,-5.211188
San Francisco (Be Sure to Wear Flowers in Your Hair),55,0.569,0.0292,0.457,5.08e-06,0.105,0.617,113.168,-5.580264
I Forgot That You Existed,79,0.664,0.519,0.298,2.03e-06,0.0812,0.541,92.875,-3.2690200000000003
Versace on the Floor (Bruno Mars vs. David Guetta),64,0.747,0.0429,0.108,0.0,0.0712,0.589,100.012,-3.436302
Breakout,0,0.704,0.0316,0.175,0.00231,0.0631,0.777,113.194,-7.136841000000001
Firestone,81,0.704,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,-4.675116
Til Death - Denzal Park Radio Edit,30,0.696,0.0468,0.0374,0.00108,0.0485,0.967,127.988,-2.6282399999999995
The Time Warp,45,0.368,0.246,0.093,0.00267,0.0986,0.542,175.7,-4.277988
Scream,62,0.805,0.0905,0.0745,1.46e-05,0.415,0.608,106.525,-6.202127999999999
AFTERGLOW,20,0.35,0.0417,0.00121,6.85e-05,0.198,0.467,148.982,-4.8825
I Dig Rock and Roll Music - 2004 Remaster,31,0.692,0.0422,0.118,0.0,0.305,0.744,121.77,-4.91883
Makes Me Wonder,0,0.803,0.0357,0.00485,0.000358,0.0577,0.881,113.996,-2.0670789999999997
Thunder,0,0.605,0.0448,0.00702,0.114,0.145,0.238,167.997,-3.890205
Same Old Love,73,0.672,0.0304,0.0223,0.0,0.214,0.438,98.02,-2.3779299999999997
(You Drive Me) Crazy,71,0.748,0.0341,0.0534,0.0,0.32,0.96,104.001,-4.026432
Free Loop,59,0.6,0.0336,0.503,0.00013,0.0816,0.678,75.331,-7.025301
Two Strong Hearts,18,0.61,0.0316,0.0212,0.0,0.309,0.841,109.856,-7.3265400000000005
Levels,0,0.429,0.446,0.0497,0.0,0.265,0.684,198.709,-3.146319
When You Believe - from The Prince of Egypt,31,0.43,0.031,0.528,0.0,0.12,0.155,125.218,-3.521584
Never Be The Same Again - Single Mix,40,0.739,0.068,0.00356,0.0,0.0848,0.558,81.001,-2.181593
Stole,52,0.649,0.0594,0.00676,4.26e-06,0.174,0.477,79.993,-3.578512
Before the Worst,35,0.586,0.0463,0.141,0.0,0.655,0.4,115.006,-3.926368
"That Sunday, That Summer",33,0.249,0.0406,0.755,0.0,0.395,0.462,82.495,-4.56044
Burn Your Name,53,0.423,0.039,0.000675,5.99e-06,0.187,0.26,126.51,-2.67536
Welcome To My World,6,0.374,0.271,0.104,0.0,0.111,0.637,159.149,-4.401944
fOoL fOr YoU,71,0.52,0.0256,0.281,0.0,0.0976,0.17,77.903,-3.6977040000000003
Lady Godiva - Mono; 2003 Remaster,7,0.607,0.0311,0.42,0.0,0.0609,0.838,124.601,-4.316848
Lean On (feat. MÃ & DJ Snake),0,0.723,0.0625,0.00346,0.00123,0.565,0.274,98.007,-2.492529
You Found Me,0,0.366,0.0423,0.018,0.0,0.153,0.398,76.057,-4.321233
Higher Ground,70,0.716,0.0426,0.0631,0.00133,0.189,0.821,125.474,-8.45665
I Wanna Be the Only One (feat. Bebe Winans),44,0.627,0.0625,0.468,0.0,0.126,0.802,100.071,-5.9712000000000005
Rev It Up,35,0.723,0.0428,0.0184,0.0106,0.0665,0.917,95.262,-9.936886
Doggin' Around,28,0.568,0.0256,0.801,1.67e-05,0.059,0.383,94.096,-3.6377040000000003
New Rules,84,0.762,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,-4.2147
It's Now or Never,0,0.631,0.0356,0.521,0.000258,0.512,0.781,126.156,-5.374842
Boys & Girls,12,0.789,0.041,0.00555,9.68e-06,0.069,0.902,131.005,-1.7999999999999998
Flowers,96,0.707,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,-2.9453250000000004
Take Me,26,0.719,0.0465,0.167,0.044,0.104,0.461,124.04,-5.7291
We Can't Stop,82,0.613,0.0334,0.00882,0.0,0.37,0.484,80.003,-3.603868
THATS WHAT I WANT,85,0.737,0.22,0.00614,0.0,0.0486,0.546,87.981,-3.81546
Hurricane - Radio Edit,29,0.452,0.0518,0.0501,1.58e-05,0.309,0.275,125.994,-3.35508
Midnight Memories,71,0.432,0.0882,0.00725,0.0,0.233,0.567,156.128,-1.7446799999999998
Mama,0,0.524,0.0276,0.568,0.0389,0.15,0.549,95.116,-4.895163
When Something Is Wrong With My Baby,0,0.409,0.0369,0.0174,1.02e-05,0.0415,0.439,100.938,-5.619619999999999
HIGHEST IN THE ROOM,86,0.598,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,-3.7422279999999994
TiK ToK,0,0.755,0.116,0.0746,1.27e-06,0.291,0.735,120.032,-2.280512
Some Type of Love,48,0.706,0.08,0.353,0.0,0.105,0.399,90.491,-3.5640389999999997
California Dreamin' - Single Version,83,0.552,0.0345,0.352,0.0,0.0533,0.637,112.367,-5.949888
Mona,31,0.697,0.0316,0.00124,0.00117,0.252,0.751,102.981,-5.888256
Free Ride,64,0.674,0.0597,0.29,0.00322,0.189,0.814,124.204,-8.181922
Stay with Me,29,0.404,0.0512,0.891,0.0,0.103,0.147,75.342,-2.199465
Already Gone,21,0.329,0.0309,0.03,2.68e-06,0.135,0.531,161.436,-2.469928
Twist And Shout,0,0.802,0.0334,0.224,0.0,0.298,0.977,128.954,-7.540719999999999
Flashing Lights,12,0.706,0.0451,0.0105,3.85e-06,0.171,0.786,119.972,-4.64324
Caught in the Middle,54,0.519,0.034,0.0524,0.0,0.243,0.572,96.072,-4.476628
Folsom Prison Blues,44,0.594,0.0528,0.0267,0.00541,0.905,0.898,110.71,-6.457152
Don't Go Breaking My Heart,83,0.729,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,-7.447456
Always on My Mind,74,0.533,0.0366,0.0116,0.0565,0.186,0.726,124.874,-8.30763
