Track Name,Popularity,Danceability,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,intensity,Cluster,PCA1,PCA2,Cluster Label
Hands Of Love,49,0.442,0.033,0.38,0.000117,0.085,0.139,144.006,-3.986952,3,0.07175268005347801,0.47587334116194824,"Acoustic, Neutral, Relaxed"
Rasputin,81,0.758,0.113,0.00364,6.92e-05,0.193,0.658,128.04,-2.671438,1,0.47287886282613745,-0.17368743160292882,"Popular, Moderate Dance, Positive Vibes"
Be Right There,51,0.695,0.0548,0.00251,0.117,0.664,0.297,124.986,-4.138404,1,0.13811580901890796,0.03028110920158472,"Popular, Moderate Dance, Positive Vibes"
She Kissed Me,26,0.494,0.0947,0.00964,0.000309,0.746,0.464,133.177,-5.6496,0,-0.11957359877711798,-0.0575296412778174,"Mid-tempo, Less Popular, Melancholic"
Before the Worst,50,0.602,0.0427,0.122,0.0,0.692,0.393,115.077,-3.863476,1,0.11603480931090626,0.08114060477482282,"Popular, Moderate Dance, Positive Vibes"
Foreplay / Long Time,66,0.435,0.0545,0.00983,0.00748,0.0923,0.209,118.704,-5.826276000000001,1,0.2837431682819307,0.1900768138997847,"Popular, Moderate Dance, Positive Vibes"
Poison Ivy,30,0.63,0.0532,0.681,0.0,0.292,0.914,130.105,-5.555039999999999,3,-0.11220741376924792,0.08222285249969913,"Acoustic, Neutral, Relaxed"
With Or Without You - Remastered,0,0.538,0.0295,0.000185,0.309,0.139,0.116,110.181,-5.133024,0,-0.38818526387193963,0.13962389536449665,"Mid-tempo, Less Popular, Melancholic"
The Boy Is Mine,76,0.704,0.0391,0.539,0.00106,0.318,0.761,93.145,-4.621658999999999,1,0.36543635868360425,0.13083732665736444,"Popular, Moderate Dance, Positive Vibes"
"Hold On, I'm Comin'",74,0.803,0.0349,0.196,0.038,0.097,0.912,106.841,-4.741802,1,0.3954860160625563,-0.2342345840170969,"Popular, Moderate Dance, Positive Vibes"
Against All Odds (Take A Look At Me Now),0,0.594,0.0284,0.255,0.0,0.159,0.139,116.225,-4.014648,0,-0.4040828733213035,0.2947831884500332,"Mid-tempo, Less Popular, Melancholic"
Maneater,84,0.796,0.0397,0.0261,0.000358,0.121,0.787,132.722,-3.73737,1,0.5086977472791507,-0.253453922739916,"Popular, Moderate Dance, Positive Vibes"
Even When I'm Sleeping,47,0.653,0.0246,0.533,0.0,0.0881,0.416,80.037,-2.4622649999999995,3,0.06009066283228476,0.3577951496949177,"Acoustic, Neutral, Relaxed"
SOS,79,0.677,0.0361,0.004,5.07e-05,0.413,0.527,137.046,-3.2912550000000005,1,0.4368548426693978,-0.07178594667232152,"Popular, Moderate Dance, Positive Vibes"
Dance Wiv Me,0,0.878,0.0451,0.0476,0.0,0.154,0.792,111.996,-3.193626,2,-0.3391504605868989,-0.3547497073610671,"Upbeat, Less Popular, Positive"
Heat Wave,0,0.655,0.0456,0.209,0.725,0.217,0.924,164.55,-6.842148,2,-0.3792547312025233,-0.31812971916752547,"Upbeat, Less Popular, Positive"
Melanie Makes Me Smile,0,0.601,0.0309,0.506,0.0,0.15,0.671,106.951,-5.3394390000000005,2,-0.40715449705050466,0.1071823221324334,"Upbeat, Less Popular, Positive"
Cheers (Drink To That),56,0.572,0.0425,0.018,0.0,0.293,0.724,79.986,-3.310538,1,0.20739222759906928,-0.17392932268403322,"Popular, Moderate Dance, Positive Vibes"
Cherish,54,0.692,0.0345,0.289,3.27e-05,0.0675,0.9,131.877,-3.962,1,0.17792186930676157,-0.15205117933210516,"Popular, Moderate Dance, Positive Vibes"
Radioactive,83,0.448,0.0627,0.106,0.000108,0.668,0.236,136.245,-2.889824,1,0.4370227617969509,0.25729667932944483,"Popular, Moderate Dance, Positive Vibes"
The Show Must Go On - 2010 Remastered Version,27,0.681,0.0489,0.464,1.22e-05,0.199,0.438,100.724,-5.801267,3,-0.13524685086945992,0.23597156600109193,"Acoustic, Neutral, Relaxed"
I Like Me Better,2,0.752,0.253,0.535,2.55e-06,0.104,0.419,91.97,-3.848605,3,-0.38699514964590853,0.2530570740546093,"Acoustic, Neutral, Relaxed"
Everything About You,0,0.516,0.0646,0.0117,1.08e-06,0.142,0.775,122.603,-6.181785,2,-0.35728912514598876,-0.2849720381072928,"Upbeat, Less Popular, Positive"
WHATS POPPIN,79,0.923,0.245,0.017,0.0,0.272,0.826,145.062,-4.029284,1,0.4678722469549377,-0.3465089639704689,"Popular, Moderate Dance, Positive Vibes"
Mashed Potato Time,0,0.636,0.0296,0.0487,1.41e-05,0.0547,0.826,125.061,-3.841353,2,-0.35039923912894133,-0.3101258654435843,"Upbeat, Less Popular, Positive"
Ave Mary A,39,0.61,0.0424,0.0035,1.09e-05,0.0781,0.508,119.912,-3.776648,1,0.034116617830206974,-0.07905240117807283,"Popular, Moderate Dance, Positive Vibes"
Missing - Todd Terry Remix / Radio Edit,69,0.739,0.0296,0.0217,0.00357,0.057,0.652,123.509,-5.577767,1,0.3493019340235698,-0.17613407136023213,"Popular, Moderate Dance, Positive Vibes"
Oops!...I Did It Again,82,0.751,0.0437,0.3,1.77e-05,0.355,0.894,95.053,-4.540296,1,0.4579608881847118,-0.127911297691349,"Popular, Moderate Dance, Positive Vibes"
Sing My Love,9,0.649,0.0301,0.00738,0.234,0.152,0.822,123.026,-5.829804,2,-0.26125820585918896,-0.34865587824766847,"Upbeat, Less Popular, Positive"
This Is Heaven,0,0.646,0.0543,0.0372,0.0,0.0897,0.51,100.912,-3.759183,0,-0.36183833361443135,-0.10903212149658026,"Mid-tempo, Less Popular, Melancholic"
500 Miles Away from Home,52,0.501,0.0293,0.669,0.0,0.539,0.551,108.948,-4.634487,3,0.084215630300283,0.38271663698101976,"Acoustic, Neutral, Relaxed"
Takin' Care Of Business,0,0.731,0.05,0.0543,0.0,0.183,0.961,130.19,-5.24049,2,-0.3423487033182238,-0.4365606548929775,"Upbeat, Less Popular, Positive"
Love In An Elevator - Single Version,0,0.446,0.0791,0.0344,0.00157,0.337,0.524,93.755,-4.61138,0,-0.37733603567216567,-0.0721423879880676,"Mid-tempo, Less Popular, Melancholic"
Harley & Rose,51,0.641,0.0404,0.092,1.66e-05,0.178,0.562,103.91,-9.61632,1,0.1479303450402134,-0.08538431201648661,"Popular, Moderate Dance, Positive Vibes"
